Index,State,City,Country
1,Oregon,LONDON,UK
2,California,BERLIN,Germany
3,Wyoming,MADRID,Spain
4,California,ROMA,Italy
5,Wyoming,KIEV,Ukraine
6,California,PARIS,France
7,Nevada,BUCURESTI (Bucharest),Romania
8,Wyoming,BUDAPEST,Hungary
9,California,Hamburg,Germany
10,California,MINSK,Belarus
11,California,WARSZAWA (Warsaw),Poland
12,California,BEOGRAD (Belgrade),Serbia
13,Nevada,WIEN (Vienna),Austria
14,Wyoming,Kharkov,Ukraine
15,California,Barcelona,Spain
16,Nevada,Milano (Milan),Italy
17,Nevada,Munchen (Munich),Germany
18,California,PRAHA (Prague),Czech Republic
19,California,SOFIA,Bulgaria
20,Wyoming,Dnepropetrovsk,Ukraine
21,Nevada,Donetsk,Ukraine
22,Wyoming,Napoli (Naples),Italy
23,Nevada,Birmingham,UK
24,California,Odessa,Ukraine
25,Nevada,Koln (Cologne),Germany
26,Oregon,Torino (Turin),Italy
27,California,ZAGREB,Croatia
28,Nevada,Zaporozhye,Ukraine
29,California,Lodz,Poland
30,California,Marseille,France
31,Wyoming,RIGA,Latvia
32,Nevada,Lvov,Ukraine
33,California,ATHINAI (Athens),Greece
34,California,Salonika,Greece
35,California,STOCKHOLM,Sweden
36,California,Krakow,Poland
37,California,Valencia,Spain
38,Nevada,AMSTERDAM,Netherlands
39,Nevada,Leeds,UK
40,California,Kryvy Rig,Ukraine
41,California,Sevilla,Spain
42,Nevada,Palermo,Italy
43,Oregon,KISHINEV,Moldova
44,California,Genova,Italy
45,Nevada,Frankfurt am Main,Germany
46,Nevada,Wroclaw (Breslau),Poland
47,Oregon,Glasgow,UK
48,California,Zaragoza,Spain
49,California,Essen,Germany
50,California,Rotterdam,Netherlands
51,California,Dortmund,Germany
52,California,Stuttgart,Germany
53,California,VILNIUS,Lithuania
54,California,Poznan,Poland
55,California,Dusseldorf,Germany
56,California,LISBOA (Lisbon),Portugal
57,California,HELSINKI,Finland
58,California,Malaga,Spain
59,California,Bremen,Germany
60,California,Sheffield,UK
61,California,SARAJEVO,Bosnia
62,California,Duisburg,Germany
63,California,Hannover,Germany
64,Nevada,Mykolaiv,Ukraine
65,Nevada,OSLO,Norway
66,Nevada,KOBENHAVN (Copenhagen),Denmark
