Order ID,OrderDate,Customer Name Index,Channel,Currency Code,Code,Region ID,Product ID,Quantity,Unit Price, Unit Cost
11000,01-01-2019,126,Industries,Euro,INX005RT,21,27,6,2499.1,1824.343
11001,01-01-2019,96,Import,Euro,INX005RT,13,20,11,2351.7,1269.918
11002,01-01-2019,8,Industries,Euro,INX005RT,60,18,11,1701.8,1429.512
11003,01-01-2019,92,Industries,Euro,INX005RT,13,25,5,1728.6,1019.874
11004,01-01-2019,8,Industries,Euro,INX005RT,49,26,6,978.2,684.74
11005,01-01-2019,42,Export,Euro,INX005RT,51,7,7,2338.3,1028.852
11006,01-01-2019,73,Industries,Euro,INX005RT,59,8,8,2291.4,1260.27
11007,01-01-2019,138,Export,Euro,AXT87U,18,23,11,5219.3,4332.019
11008,01-01-2019,53,Industries,Euro,ZAQ890,41,1,7,2874.3,1667.094
11009,01-01-2019,45,Industries,Euro,INX005RT,8,25,10,1045.2,679.38
11010,02-01-2019,50,Industries,Euro,INX005RT,15,29,5,3999.9,3279.918
11011,02-01-2019,111,Industries,Euro,INX005RT,33,26,12,3872.6,2517.19
11012,02-01-2019,37,Industries,Euro,INX005RT,38,15,6,911.2,665.176
11013,02-01-2019,39,Import,Euro,INX005RT,43,18,12,891.1,516.838
11014,02-01-2019,56,Export,Euro,INX005RT,44,24,6,3879.3,2056.029
11015,02-01-2019,57,Import,Euro,INX005RT,25,19,9,1045.2,418.08
11016,02-01-2019,21,Industries,Euro,INX005RT,40,12,12,5406.9,3676.692
11017,02-01-2019,141,Industries,Euro,INX005RT,49,1,6,167.5,83.75
11018,02-01-2019,152,Industries,Euro,INX005RT,8,25,7,1835.8,1413.566
11019,02-01-2019,58,Import,Euro,INX005RT,63,10,7,3966.4,1903.872
11020,02-01-2019,78,Industries,Euro,INX005RT,14,28,8,214.4,124.352
11021,02-01-2019,151,Import,Euro,INX005RT,8,15,9,5152.3,3709.656
11022,02-01-2019,159,Industries,Euro,INX005RT,37,2,6,2418.7,1910.773
11023,02-01-2019,126,Import,Euro,INX005RT,15,15,8,5601.2,2632.564
